url_path,views_total,views_unique
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.md,18,11
/acqxi/FlirWithFaceDet,12,4
/acqxi/FlirWithFaceDet/commits/github-repo-stats,4,1
/acqxi/FlirWithFaceDet/actions,3,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet/latest-report,3,1
/acqxi/FlirWithFaceDet/graphs/traffic,2,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats,2,1
/acqxi/FlirWithFaceDet/tree/github-repo-stats/acqxi/FlirWithFaceDet,2,1
/acqxi/FlirWithFaceDet/actions/workflows/github-repo-stats.yml,1,1
/acqxi/FlirWithFaceDet/blob/github-repo-stats/acqxi/FlirWithFaceDet/latest-report/report.html,1,1
